iter	BalancedAccuracy	Logloss
85	0.7534306484	0.5706244001
86	0.7534306484	0.5696938292
87	0.7532728906	0.5687906929
88	0.7534615699	0.5678753951
89	0.7534274979	0.5669871088
90	0.7535202623	0.5662278127
91	0.7537089416	0.565397575
92	0.7540553786	0.5645145654
93	0.7542749793	0.5637155283
94	0.7546523378	0.5628605376
95	0.7547141807	0.5620255608
96	0.7546214163	0.5612140397
97	0.7548100956	0.5603804884
98	0.7550574672	0.5596098994
99	0.7549337814	0.5588403573
100	0.7548719385	0.5580656104
101	0.7548378665	0.5572811532
102	0.754868788	0.5565030761
103	0.7548069451	0.5557648238
104	0.7548378665	0.555030115
105	0.7548100956	0.5543403798
106	0.7547791741	0.5536108313
107	0.7552120745	0.5528962123
108	0.755644975	0.5521854975
109	0.7555522106	0.5515206964
110	0.7558645757	0.5508375206
111	0.7558305037	0.5502017355
112	0.7557686608	0.5495297499
113	0.7560097315	0.5488560644
114	0.75597881	0.5482421389
115	0.7557806793	0.5476058797
116	0.7558084503	0.5470185047
117	0.7557156859	0.5464338537
118	0.7560249005	0.5458684444
119	0.7557743784	0.5452270719
120	0.7557434569	0.5446064929
121	0.7559289857	0.5440492765
122	0.7557712279	0.5434767955
123	0.7553938694	0.5429335926
124	0.7554247908	0.5423731871
125	0.7554247908	0.5417878296
126	0.7555825486	0.5412386653
127	0.7555207057	0.5406624163
128	0.7557403064	0.5401670753
129	0.7562691217	0.5396601121
130	0.7562382003	0.5391926008
131	0.7563618861	0.5386895026
132	0.7564205785	0.5381928994
133	0.756417428	0.5376962501
134	0.7565442644	0.5371567106
135	0.7563865066	0.536679378
136	0.7563555851	0.5361307294
137	0.7563555851	0.5356432737
138	0.756417428	0.535134344
139	0.7563246637	0.5346106999
140	0.7563865066	0.5341563698
141	0.7563524346	0.53366433
142	0.7563215132	0.5332352334
143	0.7561978273	0.5327281921
144	0.7564142775	0.5322365554
145	0.7562565198	0.5317920382
146	0.7564761205	0.5313803608
147	0.7566307278	0.5308961638
148	0.7567575641	0.5304114387
149	0.7566925707	0.5299483349
150	0.7569399424	0.5294907604
151	0.7569399424	0.5290818373
152	0.7571595431	0.5285894882
153	0.7570667787	0.5281293056
154	0.7572523074	0.5277720948
155	0.757221386	0.5273832565
156	0.7572832289	0.5269932681
157	0.7571595431	0.5265463446
158	0.7571286216	0.5261558694
159	0.7572832289	0.5257702763
160	0.757187314	0.5253968222
161	0.7574378362	0.5250050235
162	0.7578429657	0.5245364476
163	0.7582512456	0.5239976995
164	0.7587706094	0.5235394684
165	0.759107595	0.5230196794
166	0.7593271957	0.522507035
167	0.7592559013	0.5220234098
168	0.7592868228	0.5215584074
169	0.7595064235	0.521105634
170	0.7595341945	0.520645677
171	0.7598743305	0.5202063583
172	0.7595588149	0.5198030091
173	0.7597134222	0.519364937
174	0.7596175074	0.5188874756
175	0.7596452784	0.5184577589
176	0.7598894995	0.5180159299
177	0.7595089906	0.5176156872
178	0.7594250942	0.5172012593
179	0.7598522771	0.5167764599
180	0.759948192	0.5163228738
181	0.7600870468	0.515951752
182	0.7597065378	0.5155332099
183	0.7601766607	0.5151368021
184	0.7603003466	0.5147852889
185	0.7606127116	0.5143587174
186	0.7609869196	0.5139498352
187	0.7609559982	0.5134615252
188	0.761079684	0.513045809
189	0.7613302062	0.5126609961
190	0.7604145809	0.5122780042
191	0.7604114304	0.5119036756
192	0.7605660377	0.5115122652
193	0.7606278807	0.5110885051
194	0.760720645	0.5106457096
195	0.7613144537	0.5103043191
196	0.7622546995	0.5099296329
197	0.762196007	0.5095408298
198	0.7631980957	0.5091647528
199	0.7634208469	0.5088053845
200	0.7633899254	0.5083885926
201	0.7635413822	0.5080816331
202	0.7634145459	0.507733011
203	0.7634145459	0.5073199106
204	0.7638846688	0.5069397088
205	0.7637887539	0.5066494565
206	0.7637887539	0.5063257378
207	0.7641938834	0.5060327134
208	0.7640298246	0.5056715587
209	0.7644999475	0.5053548002
210	0.7642494253	0.5050050319
211	0.7644040326	0.5046858354
212	0.7647782406	0.504369173
213	0.7649328479	0.5040697833
214	0.7649637694	0.5037640018
215	0.7667022555	0.5034418872
216	0.7666063406	0.5031590831
217	0.7667300265	0.502865676
218	0.7667640984	0.5025888286
219	0.7674847435	0.502269516
220	0.7675806583	0.501972908
221	0.7677724881	0.5016385045
222	0.7678034095	0.5013478009
223	0.7678034095	0.5010247767
224	0.7679643178	0.5006811613
225	0.7682457614	0.5003943437
226	0.768152997	0.5001025976
227	0.7684962836	0.4997849601
228	0.7683725978	0.499461683
229	0.7687840282	0.4991360223
230	0.7690036289	0.4988271173
231	0.7688767926	0.4985351339
232	0.7691273147	0.498252937
233	0.768907714	0.4979710674
234	0.7690932428	0.4977676346
235	0.7690932428	0.4974893569
236	0.7692169286	0.497278214
237	0.7692787715	0.4970694869
238	0.7692169286	0.4967888778
239	0.7691519352	0.4965150196
240	0.7692446996	0.4962251574
241	0.7694024574	0.4959137161
242	0.7694024574	0.4956685725
243	0.7692169286	0.4954066329
244	0.7693715359	0.495167713
245	0.7692787715	0.4948813366
246	0.7692478501	0.4946374704
247	0.769309693	0.4943787457
248	0.7695015227	0.4941129184
249	0.7700025671	0.4938550231
250	0.770383076	0.4935816619
251	0.7705067619	0.4933591197
252	0.7704758404	0.4931020595
253	0.7706335982	0.4928046033
254	0.7707263626	0.4925650919
255	0.7706954411	0.4922990068
256	0.7706335982	0.4920660231
257	0.7707945065	0.4917978993
258	0.7712646294	0.491559116
259	0.7712646294	0.4912722843
260	0.7713264723	0.4910245075
261	0.7713883152	0.4908291591
262	0.7713264723	0.4906030534
263	0.7718306671	0.4903689811
264	0.7719543529	0.490133118
265	0.7720471173	0.4898532277
266	0.7719852744	0.4896173554
267	0.7718306671	0.4893824828
268	0.7717997456	0.489193769
269	0.7719884249	0.4889890172
270	0.7716760598	0.4887853974
271	0.7716760598	0.4885617464
272	0.7716792103	0.4883374721
273	0.7717410532	0.4880626192
274	0.7721152612	0.4878834853
275	0.7718615885	0.4876836463
276	0.7720502678	0.4874779803
277	0.7718306671	0.4872663569
278	0.7723935543	0.4870458108
279	0.7724553973	0.4868137493
280	0.7723285609	0.4865847281
281	0.772266718	0.4864018041
282	0.7723285609	0.4861988907
283	0.7725481616	0.4859478936
284	0.7725172402	0.4857224448
285	0.7722976395	0.4855893055
286	0.77189251	0.4853791269
287	0.7718275166	0.4851818835
288	0.7720161958	0.4849771613
289	0.7721089602	0.4847177996
290	0.7720471173	0.4845561505
291	0.7720161958	0.4844451591
292	0.7720471173	0.4843034165
293	0.7723935543	0.4841181876
294	0.772674998	0.483948979
295	0.7729564416	0.4837549461
296	0.7731482713	0.4835525051
297	0.7728018343	0.4834093004
298	0.772674998	0.4832016562
299	0.7730182845	0.4830717905
300	0.772987363	0.4828710356
301	0.7732688067	0.4826786314
302	0.7733306496	0.4825120064
303	0.7732997281	0.4823082942
304	0.773049206	0.4821280816
305	0.7732688067	0.4819601235
306	0.7731760423	0.4817749511
307	0.7733306496	0.4815860812
308	0.7733924925	0.4814272092
309	0.773423414	0.4812741189
310	0.7734265645	0.4811252741
311	0.7735224793	0.4809544863
312	0.7738039229	0.4808228766
313	0.7739926022	0.480608341
314	0.7740575956	0.4804229398
315	0.7739957527	0.4802703361
316	0.773776152	0.4800786398
317	0.7737111586	0.4798945006
318	0.7742771963	0.4797202593
319	0.7743112682	0.4795963522
320	0.7744381046	0.4794240624
321	0.7743112682	0.479288587
322	0.7742462748	0.4790921409
323	0.7741194385	0.4788840212
324	0.7743390392	0.4787100993
325	0.7743081178	0.4785279098
326	0.7742771963	0.4783944206
327	0.7740575956	0.4782018237
328	0.774122589	0.4779807588
329	0.7745617904	0.4778297874
330	0.7739957527	0.4776829626
331	0.773776152	0.4775758476
332	0.7738998378	0.4774419613
333	0.77415036	0.4773078728
334	0.7740266741	0.4771245372
335	0.7740266741	0.4769029079
336	0.7741194385	0.4767875143
337	0.773776152	0.4766601298
338	0.7740266741	0.4765386262
339	0.7744349541	0.4764130882
340	0.7746823258	0.4762404987
341	0.7750906057	0.4760481849
342	0.7747132472	0.4759167994
343	0.7748369331	0.4757299987
344	0.774871005	0.475606989
345	0.7748369331	0.4754293057
346	0.7749637694	0.4752965584
347	0.7749328479	0.4751129494
348	0.7751524486	0.4749784436
349	0.7754679642	0.4748261829
350	0.7754679642	0.4746704676
351	0.7753102064	0.4744828568
352	0.7753411279	0.4742932408
353	0.7753411279	0.4741668918
354	0.7753720493	0.4740563669
355	0.7753411279	0.4739207426
356	0.7753720493	0.4737674084
357	0.7753133569	0.4736172201
358	0.7751555991	0.4735011828
359	0.7754061213	0.473372424
360	0.7754370427	0.4732483866
361	0.7754988857	0.4731082078
362	0.7754061213	0.4729633177
363	0.7754679642	0.4727810909
364	0.7754679642	0.4726553942
365	0.7754679642	0.4725400019
366	0.7754679642	0.4724253888
367	0.7754029708	0.472321068
368	0.7753720493	0.4722079936
369	0.7753720493	0.4720791047
370	0.7748369331	0.4719616116
371	0.7749946908	0.4718082986
372	0.7751183767	0.471707399
373	0.7750874552	0.4715371244
374	0.7750874552	0.4714213955
375	0.7751183767	0.471307249
376	0.7750565338	0.471182999
377	0.7750565338	0.4710384441
378	0.7752142915	0.4708516773
379	0.7751833701	0.4707551197
380	0.7751833701	0.4705636768
381	0.7753070559	0.4704045441
382	0.775245213	0.4702599963
383	0.7753379774	0.4701396895
384	0.7753688988	0.4700339278
385	0.7751492981	0.4698609606
386	0.7754648137	0.4696981428
387	0.7754338923	0.4695918057
388	0.7754338923	0.4694333154
389	0.7754648137	0.4692670205
390	0.7754338923	0.4691612741
391	0.7756844144	0.4690306135
392	0.7756844144	0.4689247879
393	0.7757153359	0.4688391693
394	0.7757771788	0.4687277849
395	0.7757771788	0.4685832645
396	0.7757462573	0.4684779423
397	0.775965858	0.4683784946
398	0.7761545373	0.4682934234
399	0.7759349366	0.4681842011
400	0.7769433262	0.4680357184
401	0.7768814833	0.4679084333
402	0.7768814833	0.4677668222
403	0.7772279203	0.4676185042
404	0.7770083196	0.4675378993
405	0.7768505618	0.4674525087
406	0.7771660774	0.4673140908
407	0.7771660774	0.4672146525
408	0.7771042345	0.4671327416
409	0.7771969989	0.4670180477
410	0.7771660774	0.4669318335
411	0.7772279203	0.4668492638
412	0.7772897632	0.4667828435
413	0.7775743574	0.4666819203
414	0.7775743574	0.4665975108
415	0.7776702722	0.4665193953
416	0.7781403951	0.4664027599
417	0.7783599958	0.4663282524
418	0.7781713166	0.4662594771
419	0.7782331595	0.4661283816
420	0.7783599958	0.4660405357
421	0.7783290743	0.4659396432
422	0.778548675	0.4658146851
423	0.778548675	0.4656955385
424	0.7784868321	0.4656190937
425	0.7785177536	0.4655428166
426	0.7784868321	0.4654749432
427	0.778610518	0.4653941117
428	0.7783599958	0.4653074728
429	0.7783599958	0.4652054967
430	0.7783290743	0.4650704186
431	0.7782981529	0.4649425884
432	0.778548675	0.4648132538
433	0.7783909173	0.4647156221
434	0.7786414394	0.464626959
435	0.7784527602	0.4645200234
436	0.778610518	0.4644200411
437	0.7788301187	0.4643096495
438	0.7788919616	0.4642373626
439	0.7788610401	0.4641576846
440	0.7788610401	0.4640724912
441	0.7788919616	0.4639938208
442	0.7792693201	0.4638797145
443	0.7792693201	0.4637744533
444	0.7794270779	0.4636997277
445	0.7795507637	0.4636093959
446	0.7794889208	0.4635231069
447	0.7794579993	0.4634052718
448	0.7792383986	0.463323976
449	0.7794270779	0.463251485
450	0.7795848356	0.4631238283
451	0.7796776	0.4630442299
452	0.7797085215	0.4629213751
453	0.7802127163	0.4627982053
454	0.7801817948	0.4626882076
455	0.7804973104	0.4625644001
456	0.7800890305	0.4624692182
457	0.7801199519	0.4623936957
458	0.7803086312	0.4623133457
459	0.7802467883	0.4622341561
460	0.780466389	0.462162983
461	0.7803086312	0.4620353994
462	0.780466389	0.461965915
463	0.7804973104	0.4618217325
464	0.7804973104	0.4617555864
465	0.7804973104	0.4616795236
466	0.7803086312	0.4615702289
467	0.7805282319	0.4614370222
468	0.7807478326	0.461383142
469	0.7805282319	0.4613059617
470	0.780812826	0.4612060195
471	0.7810633482	0.461146146
472	0.7809365118	0.4610985307
473	0.7809983547	0.4610253017
474	0.7812797984	0.4609079579
475	0.7809674333	0.4608143361
476	0.7805900748	0.4607400564
477	0.7806209963	0.4607034341
478	0.780778754	0.4605944098
479	0.7813757132	0.4605143789
480	0.7814684776	0.4604244933
481	0.7815643925	0.4603243365
482	0.7814066347	0.460232005
483	0.7818149146	0.4601751135
484	0.7813107198	0.4601052724
485	0.7813416413	0.460037846
486	0.7817189998	0.4599532138
487	0.7817808427	0.4598966265
488	0.7810570472	0.459832763
489	0.7812457264	0.4597734419
490	0.7810570472	0.4596978613
491	0.7811188901	0.4596283164
492	0.7813075693	0.4595820824
493	0.7812457264	0.4595128826
494	0.7812457264	0.4594485111
495	0.7812766479	0.4594053777
496	0.781589013	0.4593098702
497	0.7814621766	0.4592082214
498	0.7814621766	0.4591426763
499	0.7812734974	0.4590863718
500	0.7814003337	0.4589732044
501	0.7814312552	0.4589201603
502	0.7820282144	0.4588152699
503	0.7821550507	0.4587390672
504	0.7821550507	0.4586475648
505	0.7821859722	0.4585679414
506	0.7822168936	0.4585064247
507	0.7820591358	0.4584482741
508	0.7820591358	0.4583675553
509	0.7820591358	0.4583131815
510	0.7816817773	0.4582415713
511	0.7817126988	0.4581745515
512	0.7817745417	0.4581082111
513	0.7817436203	0.458057383
514	0.7817436203	0.4579960447
515	0.7817745417	0.457946888
516	0.7817745417	0.4578342414
517	0.781554941	0.4577853508
518	0.7817436203	0.457733038
519	0.7815240196	0.457632687
520	0.781554941	0.4575308995
521	0.7817436203	0.4574576628
522	0.7815240196	0.4573417592
523	0.7815858625	0.4572503366
524	0.7820900573	0.457203494
525	0.7821828217	0.4571568406
526	0.7821519002	0.4571232909
527	0.7821519002	0.4570222264
528	0.7821519002	0.456955614
529	0.7821519002	0.4568962295
530	0.7821209788	0.456788298
531	0.782309658	0.4567247308
532	0.7823405795	0.4566734553
533	0.7818363846	0.456596012
534	0.7822137431	0.4565444162
535	0.7818673061	0.4564969644
536	0.7819600705	0.4564406253
537	0.7820528349	0.4563778719
