iter	Passed	Remaining
359	8397	9322405
360	8426	9328729
361	8456	9336006
362	8492	9349186
363	8520	9355193
364	8547	9358532
365	8576	9364854
366	8606	9372119
367	8632	9374171
368	8655	9373525
369	8680	9375991
370	8704	9375983
371	8725	9373871
372	8747	9372238
373	8770	9371722
374	8789	9366927
375	8814	9368498
376	8837	9367765
377	8856	9363242
378	8879	9362112
379	8899	9359214
380	8922	9358430
381	8943	9355629
382	8965	9354778
383	8988	9353925
384	9005	9347636
385	9025	9344014
386	9049	9344591
387	9067	9338487
388	9084	9332753
389	9101	9325803
390	9120	9321811
391	9140	9317574
392	9164	9319033
393	9186	9317291
394	9211	9318720
395	9235	9319380
396	9256	9316770
397	9274	9311575
398	9294	9308684
399	9316	9307061
400	9334	9301686
401	9358	9302523
402	9380	9301702
403	9401	9299365
404	9422	9296308
405	9441	9292775
406	9469	9297011
407	9491	9295701
408	9509	9290774
409	9531	9289807
410	9552	9287036
411	9574	9285788
412	9594	9282934
413	9616	9281345
414	9636	9278552
415	9658	9277395
416	9680	9276591
417	9704	9276505
418	9723	9273270
419	9751	9277226
420	9777	9279574
421	9806	9285224
422	9827	9283507
423	9854	9286837
424	9882	9290882
425	9906	9291895
426	9923	9285971
427	9943	9282662
428	9978	9294235
429	10002	9294275
430	10020	9289292
431	10041	9287188
432	10066	9289253
433	10087	9287273
434	10105	9282438
435	10125	9279423
436	10148	9278810
437	10168	9276303
438	10189	9273807
439	10215	9276696
440	10232	9270665
441	10253	9269213
442	10275	9267446
443	10294	9264453
444	10314	9261528
445	10334	9258676
446	10354	9255686
447	10375	9253134
448	10394	9250076
449	10415	9247416
450	10438	9247457
451	10461	9247437
452	10484	9247173
453	10505	9245779
454	10528	9244897
455	10550	9244533
456	10571	9242326
457	10588	9237052
458	10609	9234939
459	10628	9231286
460	10648	9229166
461	10672	9229766
462	10690	9225460
463	10713	9225057
464	10734	9223435
465	10755	9221392
466	10776	9219243
467	10796	9216793
468	10813	9212146
469	10834	9209931
470	10857	9209798
471	10878	9208550
472	10899	9206692
473	10920	9205024
474	10941	9202630
475	10968	9205954
476	10988	9203768
477	11009	9202172
478	11031	9201187
479	11053	9200551
480	11076	9199827
481	11094	9196370
482	11117	9195628
483	11134	9190913
484	11154	9188581
485	11175	9186563
486	11195	9184327
487	11214	9180980
488	11231	9176294
489	11250	9172526
490	11273	9172467
491	11296	9172878
492	11314	9168958
493	11337	9168602
494	11358	9167122
495	11379	9165780
496	11405	9167702
497	11426	9166669
498	11445	9163522
499	11466	9161589
500	11488	9160603
501	11508	9158757
502	11527	9155260
503	11545	9151860
504	11567	9151167
505	11589	9149972
506	11609	9147544
507	11631	9146935
508	11651	9144933
509	11689	9156871
510	11717	9160255
511	11743	9163220
512	11769	9165227
513	11802	9172847
514	11844	9187667
515	11874	9193378
516	11909	9202275
517	11933	9203244
518	11957	9204183
519	11978	9202610
520	12004	9204729
521	12033	9209309
522	12053	9206322
523	12072	9203715
524	12097	9204699
525	12117	9203022
526	12136	9199886
527	12159	9199291
528	12178	9196757
529	12199	9195047
530	12216	9190556
531	12242	9192895
532	12261	9189738
533	12281	9187276
534	12300	9184597
535	12319	9181512
536	12341	9180426
537	12360	9177545
